sample_id,laser_power_W,scan_speed_mm_s,layer_thickness_um,hatch_spacing_um,energy_density_J_mm3,density,quality_label
47,311.06,862.74,41.5,106.48,81.5888,0.9996,0
48,232.69,1191.98,51.53,117.56,32.2231,0.8885,2
49,262.36,1011.66,30.37,92.72,92.1026,0.9683,1
50,222.27,1151.07,53.44,75.53,47.8418,0.9614,1
51,194.9,1199.46,49.97,102.51,31.7218,0.8969,2
52,200.02,1066.06,35.95,115.53,45.1798,0.9952,0
53,264.83,1080.89,37.16,112.47,58.6288,0.9989,0
54,277.74,1102.79,31.2,80.09,100.7744,0.9975,0
55,299.16,693.13,52.04,79.65,104.1274,0.9985,0
56,187.63,969.79,31.27,114.21,54.1749,0.9958,0
57,317.2,875.14,53.52,101.82,66.5108,0.9957,0
58,260.92,1019.87,49.48,117.03,44.1844,0.9975,0
59,196.69,680.46,38.34,85.24,88.4476,0.998,0
60,237.23,730.58,47.65,85.85,79.3774,0.9971,0
61,260.14,939.46,51.06,102.4,52.9619,0.9965,0
62,240.4,975.61,40.82,95.64,63.1191,0.9993,0
63,252.84,1079.92,39.43,111.87,53.0732,0.9956,0
64,187.78,768.37,40.02,78.65,77.636,0.9986,0
65,299.92,823.36,34.61,100.04,105.208,0.9968,0
66,288.09,786.58,50.63,105.27,68.7196,0.9981,0
67,253.51,698.25,34.98,111.82,92.8329,0.9836,1
68,199.82,868.95,41.78,74.0,74.382,0.9971,0
69,205.33,1144.26,31.34,81.64,70.1322,0.9974,0
70,191.78,746.2,55.31,101.88,45.6108,0.9983,0
71,231.33,923.72,40.15,112.22,55.5742,0.9988,0
72,307.34,952.27,55.51,87.03,66.8081,0.9976,0
73,308.43,978.5,35.33,86.94,102.6299,0.9951,0
74,223.05,959.09,30.22,83.9,91.7276,0.9981,0
75,246.85,1056.86,57.1,106.03,38.5775,0.9847,1
76,282.54,864.05,46.59,102.71,68.3317,0.9615,1
77,285.0,807.9,33.72,72.05,145.2215,0.9974,0
78,316.91,846.95,53.81,74.24,93.663,0.9989,0
79,185.18,823.62,31.46,75.46,94.6988,0.9985,0
80,283.52,1080.52,31.47,81.73,102.0245,0.9992,0
81,274.82,617.76,42.04,114.78,92.1899,0.9962,0
82,299.47,779.37,47.71,89.85,89.6396,0.9993,0
83,227.87,1030.58,54.22,119.94,33.999,0.9202,2
84,319.66,1020.53,47.86,89.62,73.0344,0.9554,1
85,189.4,721.19,30.53,92.66,92.8326,0.9967,0
86,285.27,924.51,38.54,114.85,69.7189,0.9966,0
87,283.92,954.45,49.6,84.97,70.5798,0.9966,0
88,219.65,936.89,53.76,109.19,39.9401,0.9272,2
89,294.05,1141.53,53.63,79.26,60.6031,0.9955,0
90,251.78,859.78,31.08,117.99,79.8695,0.9952,0
91,243.72,909.65,39.38,72.55,93.7864,0.9969,0
92,208.98,781.24,41.82,90.83,70.4157,0.9955,0
93,251.14,893.7,39.99,91.57,76.7382,0.9991,0
94,213.95,887.92,50.5,81.41,58.6099,0.9996,0
95,279.62,690.27,31.42,76.91,167.6245,0.995,0
96,195.49,972.09,37.25,98.46,54.8321,0.9992,0
97,266.68,697.65,53.19,112.77,63.7271,0.9995,0
98,317.85,816.92,54.39,85.92,83.2515,0.9979,0
99,224.47,646.87,30.9,87.32,128.6236,0.979,1
100,283.4,790.29,56.7,99.69,63.4408,0.9957,0
101,251.02,1195.06,30.12,70.83,98.4576,0.9551,1
102,303.25,921.72,48.65,83.66,80.8305,0.9979,0
103,297.07,610.9,47.87,81.56,124.544,0.9962,0
104,235.46,1006.57,51.77,98.35,45.9424,0.9998,0
105,181.75,1077.62,45.61,90.4,40.9082,0.9994,0
106,200.91,1176.93,35.35,79.98,60.3756,0.9585,1
107,282.69,1127.02,41.37,95.85,63.2527,0.9986,0
108,194.65,1142.38,55.97,109.9,27.7002,0.8816,2
109,317.09,826.29,51.58,114.38,65.0479,0.9966,0
110,237.28,961.06,58.06,93.38,45.5362,0.9968,0
111,202.8,1010.74,40.18,117.74,42.4068,0.9955,0
112,218.94,721.25,35.57,96.1,88.7939,0.9963,0
113,314.31,991.51,44.87,75.53,93.5406,0.9964,0
114,306.23,1190.74,59.47,117.65,36.7564,0.9187,2
115,193.58,1107.48,48.5,97.12,37.1067,0.9396,2
116,261.79,1041.08,38.88,88.56,73.0273,0.9987,0
117,311.82,672.39,56.88,75.02,108.6703,0.9991,0
118,242.98,747.16,51.31,112.57,56.308,0.9712,1
119,214.27,696.75,58.2,114.4,46.1886,0.9975,0
120,255.12,860.74,33.95,76.28,114.438,0.9881,1
121,257.62,724.63,37.6,71.5,132.2517,0.9629,1
122,245.1,840.27,45.96,79.36,79.9774,0.9797,1
123,201.4,1152.4,40.24,72.51,59.8987,0.9989,0
124,291.11,727.17,57.71,91.9,75.4792,0.995,0
125,188.69,874.96,33.87,77.62,82.0313,0.9969,0
126,281.67,876.66,49.8,99.98,64.5285,0.9997,0
127,274.93,1107.6,31.21,92.48,86.0055,0.9897,1
128,272.4,781.49,58.43,88.32,67.5513,0.997,0
129,251.25,1144.25,42.58,102.35,50.3833,0.997,0
130,192.84,1000.49,49.67,103.15,37.6253,0.9345,2
131,300.49,748.01,50.04,76.47,104.9935,0.9957,0
132,307.45,721.51,46.26,105.07,87.6636,0.9602,1
133,224.87,1185.68,41.99,104.27,43.316,0.997,0
134,242.15,1161.56,55.62,86.11,43.5272,0.9974,0
135,214.19,1147.6,57.72,112.17,28.83,0.9806,1
136,247.29,873.87,37.21,102.24,74.3881,0.9963,0
137,210.64,1089.63,55.82,78.38,44.1835,0.9966,0
138,199.37,1064.6,33.47,89.5,62.5109,0.9562,1
139,266.75,1159.74,59.42,73.48,52.6747,0.9989,0
140,272.88,667.11,54.98,78.82,94.4029,0.9977,0
141,271.38,1195.23,59.98,95.82,39.5027,0.9023,2
142,244.57,854.87,31.54,103.61,87.5369,0.9989,0
143,238.33,792.93,52.46,110.07,52.0496,0.9994,0
144,193.45,692.12,46.02,73.38,82.7833,0.995,0
145,184.88,991.35,54.69,78.4,43.4911,0.9992,0
146,294.69,655.65,41.83,106.89,100.5119,0.9987,0
147,245.06,820.74,36.58,80.42,101.5093,0.9956,0
148,204.55,1093.86,41.96,119.52,37.2914,0.9075,2
149,302.51,1185.36,56.19,79.62,57.0521,0.9982,0
150,259.3,930.55,54.86,105.53,48.1364,0.9952,0
151,216.43,851.19,52.74,111.33,43.306,0.9969,0
152,224.06,938.46,50.3,73.3,64.7542,0.996,0
153,204.07,1134.16,44.1,93.8,43.4976,0.9586,1
154,207.37,1007.72,36.42,74.96,75.3726,0.9971,0
155,300.44,792.24,40.82,72.76,127.6689,0.9744,1
156,304.37,1157.8,32.99,75.37,105.7118,0.998,0
157,285.6,1091.89,45.78,119.83,47.6766,0.997,0
158,260.76,1083.71,35.11,118.93,57.623,0.9974,0
159,235.65,950.85,33.84,86.05,85.1017,0.9955,0
160,230.21,845.2,42.95,101.66,62.3899,0.9657,1
161,243.15,940.76,43.85,102.94,57.2532,0.9966,0
162,193.25,699.64,51.69,89.45,59.7319,0.9978,0
163,295.75,1156.5,47.92,103.45,51.5853,0.9996,0
164,261.06,602.77,31.16,104.02,133.6338,0.9797,1
165,249.5,879.45,30.16,109.33,86.0228,0.9993,0
166,217.85,696.35,53.25,94.83,61.956,0.9997,0
167,206.27,956.56,56.34,88.72,43.1344,0.999,0
168,317.5,964.33,42.75,88.5,87.0263,0.9956,0
169,219.82,782.28,56.23,71.2,70.1872,0.9973,0
170,273.57,826.04,48.56,72.0,94.7128,0.9976,0
171,206.39,806.48,32.9,117.37,66.2659,0.999,0
172,271.23,1122.85,49.03,91.45,53.8764,0.9952,0
173,314.22,624.24,51.17,85.09,115.6014,0.9874,1
174,196.45,635.89,55.04,77.79,72.1553,0.9995,0
175,242.3,637.87,59.06,85.53,75.1935,0.9964,0
176,301.42,1024.71,54.9,118.79,45.1026,0.9551,1
177,256.39,926.1,56.97,118.59,40.9803,0.9974,0
178,230.62,834.9,32.69,73.87,114.3772,0.9972,0
179,184.92,694.51,36.17,118.79,61.9644,0.9975,0
180,213.09,629.47,34.61,73.17,133.6902,0.9865,1
181,267.64,721.12,54.02,100.89,68.1021,0.9639,1
182,211.63,862.7,58.37,88.92,47.2652,0.9976,0
183,271.45,1003.71,43.04,81.43,77.1576,0.9958,0
184,195.02,898.59,45.59,95.41,49.8997,0.9999,0
185,239.05,640.1,47.79,81.4,96.0059,0.9952,0
186,305.55,885.34,31.81,111.11,97.6449,0.9988,0
187,299.87,978.64,40.43,103.13,73.4915,0.9997,0
188,293.7,903.46,52.1,92.99,67.1062,0.9987,0
189,267.76,1048.36,56.84,83.63,53.7291,0.9997,0
190,220.79,917.63,56.48,108.03,39.4309,0.9643,1
191,200.64,764.06,39.25,76.36,87.6119,0.9985,0
192,289.51,1048.79,54.45,92.41,54.8566,0.9644,1
193,245.45,835.24,37.23,107.59,73.3693,0.9963,0
194,222.42,821.56,37.08,108.16,67.5035,0.9757,1
195,319.84,968.11,56.69,115.43,50.4836,0.9973,0
196,246.81,896.59,42.22,98.41,66.2532,0.9991,0
197,291.02,1108.7,59.84,113.65,38.595,0.9661,1
198,264.88,1163.28,40.34,97.85,57.687,0.9958,0
199,312.9,841.73,55.02,104.07,64.9195,0.9959,0
